,Code,year,VaccinePct
780,DJI,2007,92.0
781,DJI,2008,90.0
782,DJI,2009,90.0
783,DJI,2010,90.0
784,DJI,2011,89.0
785,DJI,2012,85.0
786,DJI,2013,87.0
787,DJI,2014,90.0
788,DJI,2015,86.0
789,DJI,2016,73.99828889
790,DMA,2000,97.78
791,DMA,2001,-1.0
792,DMA,2002,-1.0
793,DMA,2003,97.93233083
794,DMA,2004,102.0
795,DMA,2005,-1.0
796,DMA,2006,112.0
797,DMA,2007,93.0
798,DMA,2008,105.0
799,DMA,2009,98.25819672
800,DMA,2010,96.5625
801,DMA,2011,95.6284153
802,DMA,2012,97.72972973
803,DMA,2013,97.85177229
804,DMA,2014,99.210823
805,DMA,2015,100.0
806,DMA,2016,99.87775061
807,DOM,2000,-1.0
808,DOM,2001,94.73249016
809,DOM,2002,-1.0
810,DOM,2003,88.13
811,DOM,2004,87.0
812,DOM,2005,91.74
813,DOM,2006,93.0
814,DOM,2007,87.0
815,DOM,2008,90.0
816,DOM,2009,84.58402131
817,DOM,2010,95.49191935
818,DOM,2011,91.41069504
819,DOM,2012,92.51981342
820,DOM,2013,91.44513776
821,DOM,2014,104.6864885
822,DOM,2015,99.25968869
823,DOM,2016,97.74748227
824,PRK,2000,86.0
825,PRK,2001,91.0
826,PRK,2002,65.4
827,PRK,2003,70.0
828,PRK,2004,75.1
829,PRK,2005,83.0
830,PRK,2006,91.0
831,PRK,2007,93.0
832,PRK,2008,93.0
833,PRK,2009,94.0
834,PRK,2010,94.1998091
835,PRK,2011,94.91938034
836,PRK,2012,97.1
837,PRK,2013,93.6
838,PRK,2014,93.6
839,PRK,2015,97.0
840,PRK,2016,97.2
841,COD,2000,49.0
842,COD,2001,32.0
843,COD,2002,53.0
844,COD,2003,61.0
845,COD,2004,76.0
846,COD,2005,82.1
847,COD,2006,87.0
848,COD,2007,95.0
849,COD,2008,91.0
850,COD,2009,100.6380295
851,COD,2010,86.58317212
852,COD,2011,97.87158517
853,COD,2012,99.475563
854,COD,2013,97.11794301
855,COD,2014,99.34325371
856,COD,2015,99.8
857,COD,2016,99.1
858,ECU,2000,104.7
859,ECU,2001,105.0
860,ECU,2002,102.2
861,ECU,2003,99.0
862,ECU,2004,99.0
863,ECU,2005,98.89
864,ECU,2006,105.0
865,ECU,2007,107.0
866,ECU,2008,107.0
867,ECU,2009,111.58474369999999
868,ECU,2010,111.20835359999998
869,ECU,2011,111.1
870,ECU,2012,117.0
871,ECU,2013,86.8
872,ECU,2014,83.94853156
873,ECU,2015,79.79445862
874,ECU,2016,82.19925678
875,EGY,2000,98.2
876,EGY,2001,97.7
877,EGY,2002,97.9
878,EGY,2003,98.3
879,EGY,2004,97.6
880,EGY,2005,97.0
881,EGY,2006,98.0
882,EGY,2007,98.0
883,EGY,2008,98.0
884,EGY,2009,97.43532252
885,EGY,2010,97.3
886,EGY,2011,97.0
887,EGY,2012,94.0
888,EGY,2013,97.4
889,EGY,2014,95.5
890,EGY,2015,94.5
891,EGY,2016,95.73176529999999
892,SLV,2000,86.98
893,SLV,2001,77.0
894,SLV,2002,76.0
895,SLV,2003,84.0
896,SLV,2004,81.0
897,SLV,2005,82.0
898,SLV,2006,79.0
899,SLV,2007,111.0
900,SLV,2008,94.0
901,SLV,2009,90.0
902,SLV,2010,90.0
903,SLV,2011,90.0
904,SLV,2012,92.0
905,SLV,2013,91.0
906,SLV,2014,95.65062801
907,SLV,2015,92.7496946
908,SLV,2016,89.51225405
909,GNQ,2000,38.9
910,GNQ,2001,36.0
911,GNQ,2002,29.0
912,GNQ,2003,76.0
913,GNQ,2004,60.0
914,GNQ,2005,51.5
915,GNQ,2006,54.0
916,GNQ,2007,62.0
917,GNQ,2008,80.0
918,GNQ,2009,104.4
919,GNQ,2010,58.6
920,GNQ,2011,42.0
921,GNQ,2012,53.51362596
922,GNQ,2013,46.55102701
923,GNQ,2014,56.5483909
924,GNQ,2015,23.23446828
925,GNQ,2016,41.53040277
926,ERI,2000,59.0
927,ERI,2001,58.0
928,ERI,2002,68.0
929,ERI,2003,69.1
930,ERI,2004,73.0
931,ERI,2005,77.4
932,ERI,2006,74.0
933,ERI,2007,72.0
934,ERI,2008,72.0
935,ERI,2009,65.27
936,ERI,2010,60.6862544
937,ERI,2011,85.0
938,ERI,2012,81.4
939,ERI,2013,78.5
940,ERI,2014,76.52544109
941,ERI,2015,78.0
942,ERI,2016,83.0
943,EST,2000,96.0
944,EST,2001,99.0
945,EST,2002,99.0
946,EST,2003,99.0
947,EST,2004,98.0
948,EST,2005,99.0
949,EST,2006,98.0
950,EST,2007,98.0
951,EST,2008,97.0
952,EST,2009,97.1
953,EST,2010,96.1
954,EST,2011,95.5
955,EST,2012,96.0
956,EST,2013,95.5
957,EST,2014,94.8
958,EST,2015,94.4
959,EST,2016,94.5
960,ETH,2000,50.0
961,ETH,2001,63.0
962,ETH,2002,60.0
963,ETH,2003,63.0
964,ETH,2004,75.0
965,ETH,2005,78.4
966,ETH,2006,80.0
967,ETH,2007,81.0
968,ETH,2008,86.0
969,ETH,2009,86.7
970,ETH,2010,90.0
971,ETH,2011,86.60925798
972,ETH,2012,95.0
973,ETH,2013,91.0
974,ETH,2014,93.00000141
975,ETH,2015,100.76608929999999
976,ETH,2016,102.0
977,FJI,2000,-1.0
978,FJI,2001,86.69
979,FJI,2002,89.96
980,FJI,2003,-1.0
981,FJI,2004,75.21
982,FJI,2005,79.0
983,FJI,2006,84.0
984,FJI,2007,82.0
985,FJI,2008,77.0
986,FJI,2009,82.1
987,FJI,2010,90.1
988,FJI,2011,83.8
989,FJI,2012,92.57
990,FJI,2013,92.0
991,FJI,2014,91.0
992,FJI,2015,94.0
993,FJI,2016,86.99224806
994,FIN,2000,-1.0
995,FIN,2001,-1.0
996,FIN,2002,-1.0
997,FIN,2003,-1.0
998,FIN,2004,-1.0
999,FIN,2005,-1.0
1000,FIN,2006,-1.0
1001,FIN,2007,-1.0
1002,FIN,2008,-1.0
1003,FIN,2009,-1.0
1004,FIN,2010,-1.0
1005,FIN,2011,-1.0
1006,FIN,2013,-1.0
1007,FIN,2015,-1.0
1008,FIN,2016,-1.0
1009,FRA,2000,-1.0
1010,FRA,2001,-1.0
1011,FRA,2002,-1.0
1012,FRA,2003,-1.0
1013,FRA,2004,-1.0
1014,FRA,2005,-1.0
1015,FRA,2006,-1.0
1016,FRA,2007,-1.0
1017,FRA,2008,-1.0
1018,FRA,2009,-1.0
1019,FRA,2010,-1.0
1020,FRA,2011,-1.0
1021,FRA,2012,-1.0
1022,FRA,2013,-1.0
1023,FRA,2014,-1.0
1024,FRA,2015,-1.0
1025,FRA,2016,99.2
1026,GAB,2000,24.0
1027,GAB,2001,45.0
1028,GAB,2002,52.0
1029,GAB,2003,72.0
